作品ID,作品名,ジャンル,配給社,レーティング,公開日,終映日,上映日数,動員数合計,興行収入合計,レイト上映有無
M0001,劇場版「鬼滅の刃」無限城編　第一章,邦画アニメ,東宝株式会社,PG12,2025-07-18,2025-12-31,167,95691,134656800,True
M0002,国宝,邦画実写,東宝株式会社,PG12,2025-06-06,2025-12-31,209,53441,77798000,True
M0003,名探偵コナン 隻眼の残像,邦画アニメ,東宝株式会社,G,2025-04-18,2025-07-31,105,41273,59718400,True
M0004,劇場版『チェンソーマン レゼ篇』,邦画アニメ,東宝株式会社,PG12,2025-09-19,2025-12-31,104,29336,41767400,True
M0005,(吹替)ズートピア2,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-12-04,2025-12-31,28,28861,38401280,True
M0006,ヒプノシスマイク -Division Rap Battle-,邦画アニメ,東宝株式会社,G,2025-02-21,2025-10-09,231,10896,26657000,True
M0007,８番出口,邦画実写,東宝株式会社,G,2025-08-29,2025-11-20,84,15992,22373000,True
M0008,劇場版TOKYOMER 走る緊急救命室　南海ﾐｯｼｮﾝ,邦画実写,東宝株式会社,G,2025-08-01,2025-10-29,90,14091,19567800,True
M0009,映画ドラえもん のび太の絵世界物語,邦画アニメ,東宝株式会社,G,2025-03-07,2025-06-01,87,14618,18160500,True
M0010,(吹替)マインクラフト／ザ・ムービー,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-04-25,2025-07-06,73,10737,13870250,True
M0011,(字幕)ﾐｯｼｮﾝ:ｲﾝﾎﾟｯｼﾌﾞﾙ/ﾌｧｲﾅﾙ･ﾚｺﾆﾝｸﾞ,その他,東宝東和株式会社,G,2025-05-17,2025-07-31,76,9453,13258660,True
M0012,(吹替)リロ＆スティッチ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-06-06,2025-08-14,70,9294,12955840,True
M0013,爆弾,洋画アクション・SF,ワーナーブラザースジャパン合同会社,PG12,2025-10-31,2025-12-31,62,7715,11188960,True
M0014,秒速5センチメートル,邦画実写,東宝株式会社,G,2025-10-10,2025-12-18,70,8034,11159600,True
M0015,ブラック・ショーマン,邦画実写,東宝株式会社,G,2025-09-12,2025-11-13,63,7532,10814800,True
M0016,(吹替)ジュラシック・ワールド／復活の大地,洋画アクション・SF,東宝東和株式会社,G,2025-08-08,2025-10-02,56,7068,10084490,True
M0017,#真相をお話しします,邦画実写,東宝株式会社,G,2025-04-25,2025-06-26,63,7222,9852400,True
M0018,ファーストキス 1ST KISS,邦画実写,東宝株式会社,G,2025-02-21,2025-05-06,75,6345,9450400,True
M0019,(字幕)ウィキッド ふたりの魔女,その他,東宝東和株式会社,G,2025-03-07,2025-05-15,70,6320,9263780,True
M0020,呪術廻戦「渋谷事変」×「死滅回游」,邦画アニメ,東宝株式会社,PG12,2025-11-07,2025-12-31,55,6418,9151400,True
M0021,ドールハウス,邦画実写,東宝株式会社,G,2025-06-13,2025-08-14,63,6553,8589700,True
M0022,映画ｸﾚﾖﾝしんちゃん　超華麗!灼熱のｶｽｶﾍﾞ…,邦画実写,東宝株式会社,G,2025-08-08,2025-10-19,73,6326,8036300,True
M0023,TOKYOタクシー,邦画実写,松竹株式会社,G,2025-11-21,2025-12-31,41,5545,7461590,True
M0024,Snow Man 1stStadiumLive SnowWorld LV4/20,邦画実写,松竹株式会社,G,2025-04-20,2025-04-20,1,1290,7095000,False
M0025,フロントライン,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-06-13,2025-08-07,56,4835,6960660,True
M0026,(字幕)ジュラシック・ワールド／復活の大地,洋画アクション・SF,東宝東和株式会社,G,2025-08-08,2025-09-18,42,4699,6722000,True
M0027,劇場版『トリリオンゲーム』,邦画実写,東宝株式会社,G,2025-02-21,2025-04-17,56,4546,6327900,True
M0028,近畿地方のある場所について,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-08-08,2025-09-18,42,4435,6186060,True
M0029,劇場版総集編　呪術廻戦　懐玉・玉折,邦画アニメ,東宝株式会社,G,2025-05-30,2025-07-10,42,3996,5868300,True
M0030,栄光のバックホーム,その他,ギャガ株式会社,G,2025-11-28,2025-12-31,34,4071,5636380,True
M0031,(吹替)ﾐｯｼｮﾝ:ｲﾝﾎﾟｯｼﾌﾞﾙ/ﾌｧｲﾅﾙ･ﾚｺﾆﾝｸﾞ,その他,東宝東和株式会社,G,2025-05-17,2025-07-17,62,3928,5629500,True
M0032,MGA…10YEARS ANNIVERSARY LIVE ON SCREEN,邦画実写,東宝株式会社,G,2025-11-28,2025-12-31,34,1770,5516000,True
M0033,映画キミとアイドルプリキュア♪,邦画アニメ,東映株式会社,G,2025-09-12,2025-10-26,45,3919,5135150,False
M0034,事故物件ゾク　恐い間取り,邦画実写,松竹株式会社,G,2025-07-24,2025-09-04,43,3582,4724000,True
M0035,岸辺露伴は動かない　懺悔室,邦画実写,アスミック・エース株式会社,G,2025-05-23,2025-07-10,49,3140,4590560,True
M0036,35年目のラブレター,邦画実写,東映株式会社,G,2025-03-07,2025-04-24,49,3264,4432400,True
M0037,沈黙の艦隊　北極海大海戦,邦画実写,東宝株式会社,G,2025-09-26,2025-11-13,49,3063,4280100,True
M0038,雪風 YUKIKAZE,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-08-15,2025-09-25,42,2986,4098580,True
M0039,(字幕)F1／エフワン,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-06-27,2025-08-07,42,2850,4088740,True
M0040,ｻｻﾞﾝｵｰﾙｽﾀｰｽﾞ LIVE TOUR 2025 LV 5/29,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-05-29,2025-05-29,1,858,3861000,False
M0041,(吹替)星つなぎのエリオ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-08-01,2025-09-07,38,2818,3709680,True
M0042,(吹替)ウィキッド ふたりの魔女,その他,東宝東和株式会社,G,2025-03-07,2025-05-11,66,2540,3500530,False
M0043,仮面ライダーガヴ/ゴジュウジャー,邦画実写,東映株式会社,G,2025-07-25,2025-09-04,42,2450,3420300,True
M0044,たべっ子どうぶつ THE MOVIE,その他,株式会社クロックワークス,G,2025-05-01,2025-06-15,46,2419,3327290,False
M0045,(吹替)白雪姫,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-03-20,2025-05-01,43,2373,3294100,True
M0046,君がトクベツ,その他,ギャガ株式会社,G,2025-06-20,2025-07-24,35,2280,3220020,True
M0047,アンダーニンジャ,邦画実写,東宝株式会社,G,2025-02-21,2025-04-17,56,2410,3190500,False
M0048,お嬢と番犬くん,邦画実写,東宝株式会社,G,2025-03-14,2025-04-24,42,2304,3112900,True
M0049,てっぺんの向こうにあなたがいる,その他,株式会社キノフィルムズ,G,2025-10-31,2025-12-04,35,2637,3069040,True
M0050,カラダ探し THE LAST NIGHT,洋画アクション・SF,ワーナーブラザースジャパン合同会社,PG12,2025-09-05,2025-10-16,42,2503,3030800,True
